doc_idx,title,cluster
312,The application of Generative Artificial Intelligence in mental health care: A bibliometric and visualized analysis,8
313,The challenge of generative artificial intelligence for future communication professionals: Experiences and usability,7
314,The development of policies on generative artificial intelligence in UK universities,7
315,The effects of generative artificial intelligence (GenAI) on learning in an accounting data analytics course,7
316,The Engagement of Prospective Chinese Engineers in Translation Software and Generative AI toward Learning English,7
317,The governance & behavioral challenges of generative artificial intelligence’s hypercustomization capabilities,7
318,The impact of generative AI on management innovation,7
319,The impact of TPACK on teachers’ willingness to integrate generative artificial intelligence (GenAI): The moderating role of negative emotions and the buffering effects of need satisfaction,7
320,The next frontier in mindreading? Assessing generative artificial intelligence (GAI)'s social-cognitive capabilities using dynamic audiovisual stimuli,7
321,The role of generative artificial intelligence in digital agri-food,7
322,The state of generative artificial intelligence (GAI) in radiology and dentistry,8
323,The subject is the subject: Why TPACK matters in the era of GenAI,7
324,The transformative roles of generative artificial intelligence in vision techniques for structural health monitoring: A state-of-the-art review,7
325,The use of generative artificial intelligence (AI) in nursing education,1
326,The “Artificial Intelligence Statistician”: Utilizing Generative Artificial Intelligence to Select an Appropriate Model and Execute Network Meta-Analyses,6
327,Theoretical Perspectives on the Impact of Generative AI on the Tourism Sector:,3
328,This time it’s different – Generative artificial intelligence and occupational choice,7
329,Toward Pediatric Patient–Friendly Education Material Using Generative Artificial Intelligence,7
330,Tracking the carbon footprint of global generative artificial intelligence,7
331,Transforming the Landscape of Clinical Information Retrieval Using Generative Artificial Intelligence: An Application in Machine Fault Analysis,7
332,Transparent reporting of generative artificial intelligence use in systematic reviews,7
333,Trusting emotional support from generative artificial intelligence: a conceptual review,7
334,University students' perceptions on how generative artificial intelligence shape learning and research practices: A case study in Hong Kong,7
335,Unlocking ancient wisdom with modern tools: A new approach to the revitalization of ancient texts based on generative artificial intelligence,7
336,Unveiling the potential of generative artificial intelligence: a multidimensional journey into the future,2
337,Use and perception of generative artificial intelligence in traditional Korean medicine education: A cross-sectional survey of undergraduate students in Korea,1
338,Use of a Medical Communication Framework to Assess the Quality of Generative Artificial Intelligence Replies to Primary Care Patient Portal Messages: Content Analysis,1
339,Using AI-text generated mentor texts for genre-based pedagogy in second language writing,7
340,Using generative artificial intelligence (GenAI) in marketing: Development and practices,7
341,Using generative artificial intelligence to enhance the performance of disadvantaged students in secondary education,7
342,Utility of Generative Artificial Intelligence for Japanese Medical Interview Training: Randomized Crossover Pilot Study,1
343,Utilization and perception of generative artificial intelligence by medical students in residency applications,7
344,"Utilizing generative AI in ophthalmic medical paper writing: Applications, limitations, and practical tools",7
345,Validation of a generative artificial intelligence tool for the critical appraisal of articles on the epidemiology of mental health: Its application in the Middle East and North Africa,7
346,Visualization of uncertainty in complex projects,7
347,What Becomes of the Human Touch in the Age of Generative Artificial Intelligence?,7
348,Which educational approaches predict students’ generative AI confidence and responsibility?,7
349,Youth Perspectives on Generative AI and Its Use in Health Care,7
350,“But I Didn’t Use ChatGPT!”: Democratic Course Design and Generative Artificial Intelligence in Higher Education Landscape,7
351,“Positive” or “Threatened”? The impact of the features in generative artificial intelligence on continued behavior,7
352,1871: Generative artificial intelligence for toxicity detection in radiotherapy,7
353,500 Hyponatremia Virtual Patient Simulator: An innovative educational tool with generative artificial intelligence and physiologic models,7
354,A guide for structured literature reviews in business research: The state-of-the-art and how to integrate generative artificial intelligence,7
355,A review of ophthalmology education in the era of generative artificial intelligence,2
356,A review of top cardiology and cardiovascular medicine journal guidelines regarding the use of generative artificial intelligence tools in scientific writing,1
357,A0193 - Exploring the efficiency of generative artificial intelligence in rapidly and accurately producing patient information for urological malignancy treatments aligned with the latest EAU guidelines,7
358,Abstract 1126 Generative Artificial Intelligence in Molecular Design and Virtual Screening of Novel Caspase-1 Inhibitors,7
359,Adaptive Cancer Therapy in the Age of Generative Artificial Intelligence,7
360,Adoption and impact of generative artificial intelligence on blockchain-enabled supply chain efficiency,2
361,Adoption and impacts of generative artificial intelligence: Theoretical underpinnings and research agenda,7
362,An empirical study of factors influencing usage intention for generative artificial intelligence products: A case study of China,7
363,Analyzing Racial Differences in Imaging Joint Replacement Registries Using Generative Artificial Intelligence: Advancing Orthopaedic Data Equity,1
364,Application of generative artificial intelligence (GenAI) in language teaching and learning: A scoping literature review,7
365,Application of Generative Artificial Intelligence in Minimizing Cyber Attacks on Vehicular Networks,7
366,Artificial imaginaries: Generative AIs as an advanced form of capitalism,7
367,Assessments of Generative Artificial Intelligence as Clinical Decision Support Ought to be Incorporated Into Randomized Controlled Trials of Electronic Alerts for Acute Kidney Injury,7
368,"Beyond boundaries: exploring a generative artificial intelligence assignment in graduate, online science courses",3
369,Can Generative Artificial Intelligence (AI) Reliably Score Open-Ended Questions (OEQs) in the Assessment of Medical Knowledge,7
370,Can generative artificial intelligence pass the orthopaedic board examination?,1
371,Characterizing generative artificial intelligence applications: Text-mining-enabled technology roadmapping,7
372,ChatGPT vs Expert-Guided Care Pathways for Postesophagectomy Symptom Management,1
373,ChatGPT’s scorecard after the performance in a series of tests conducted at the multi-country level: A pattern of responses of generative artificial intelligence or large language models,7
374,Co-creating art with generative artificial intelligence: Implications for artworks and artists,7
375,Collaboration with Generative Artificial Intelligence: An Exploratory Study Based on Learning Analytics,7
376,Comparing expert tutor evaluation of reflective essays with marking by generative artificial intelligence (AI) tool,7
377,Comparing generative artificial intelligence tools to voice assistants using reference interactions,7
378,Correspondence: Generative artificial intelligence in healthcare,7
379,Cybersecurity in the generative artificial intelligence era,7
380,Decoding medical educators’ perceptions on generative artificial intelligence in medical education,7
381,Developing a foundation for the informational needs of generative AI users through the means of established interdisciplinary relationships,7
382,Developing an immersive game-based learning platform with generative artificial intelligence and virtual reality technologies – “LearningverseVR”,7
383,Development of a Personalized Chat Model Based on the European Association of Urology Oncology Guidelines: Harnessing the Power of Generative Artificial Intelligence in Clinical Practice,7
384,Dietetic Students' Knowledge and Perceptions of Their Use of Generative Artificial Intelligence Now and in the Future,7
385,Do you create your content yourself? Using generative artificial intelligence for social media content creation diminishes perceived brand authenticity,7
386,Does Generative Artificial Intelligence Improve the Academic Achievement of College Students? A Meta-Analysis,7
387,Employees’ perception of generative artificial intelligence and the dark side of work outcomes,7
388,Enhancing digital rock analysis through generative artificial intelligence: Diffusion models,7
389,Enhancing Patient Education on the Heart-Healthy Diet With Generative Artificial Intelligence Models,7
390,Enhancing sustainability in manufacturing through cognitive digital twins powered by generative artificial intelligence,7
391,Evaluating public sector employee perceptions towards artificial intelligence and generative artificial intelligence integration,7
392,EVIDENCE FROM RANDOMIZED CONTROLLED TRIAL TO REAL-WORLD PATIENTS USING ELECTRONIC HEALTH RECORD-ADAPTED DIGITAL TWINS: A NOVEL APPLICATION OF GENERATIVE ARTIFICIAL INTELLIGENCE,7
393,Examining teachers’ behavioural intention of using generative artificial intelligence tools for teaching and learning based on the extended technology acceptance model,7
394,Exploring professional perspectives on integrating generative artificial intelligence into corporate learning and development: an organizational change perspective,2
395,Exploring the potential of large language models and generative artificial intelligence (GPT): Applications in Library and Information Science,7
396,Facing the era of generative artificial intelligence: Strategies of information and digital literacy in Chinese studies,7
397,"Fake news research trends, linkages to generative artificial intelligence and sustainable development goals",7
398,Fostering creativity in engineering design through constructive dialogues with generative artificial intelligence,5
399,From hearing to seeing: Linking auditory and visual place perceptions with soundscape-to-image generative artificial intelligence,7
400,Future directions of generative artificial intelligence in ophthalmology and vision science,7
401,Generating TRIZ-inspired guidelines for eco-design using Generative Artificial Intelligence,7
402,"Generative AI and Large Language Models - Benefits, Drawbacks, Future and Recommendations",7
403,Generative Artificial Intelligence,7
404,Generative artificial intelligence (Gen-AI) in pharmacy education: Utilization and implications for academic integrity: A scoping review,4
405,Generative artificial intelligence (GenAI) and decision-making: Legal & ethical hurdles for implementation in mental health,7
406,"Generative artificial intelligence and data augmentation for prognostic and health management: Taxonomy, progress, and prospects",7
407,Generative artificial intelligence and ethical considerations in health care: a scoping review and ethics checklist,5
408,Generative Artificial Intelligence and Generative Conversations: Contrasting Futures for Organizational Change?,7
409,Generative artificial intelligence and optimisation framework for concrete mixture design with low cost and embodied carbon dioxide,7
410,"Generative artificial intelligence and scientific publishing: urgent questions, difficult answers",7
411,Generative Artificial Intelligence as a Tool for Teaching Communication in Nutrition and Dietetics Education – an Novel Education Innovation,7
412,Generative artificial intelligence ChatGPT-4: A transformative epoch in the realm of psychiatric care of children with intellectual developmental disorders,7
413,Generative Artificial Intelligence Enhancements for Reducing Image-based Training Data Requirements,8
414,Generative artificial intelligence for de novo protein design,7
415,Generative artificial intelligence for distributed learning to enhance smart grid communication,7
416,Generative artificial intelligence for increasing accessibility of patient information videos in ophthalmology,2
417,Generative artificial intelligence for small molecule drug design,7
418,Generative Artificial Intelligence in Business Higher Education:,3
419,Generative Artificial Intelligence in Dental Licensing Examinations: Comment,7
420,"Generative artificial intelligence in healthcare from the perspective of digital media: Applications, opportunities and challenges",4
421,"Generative artificial intelligence in healthcare: A scoping review on benefits, challenges and applications",1
422,Generative artificial intelligence in innovation management: A preview of future research developments,7
423,"Generative artificial intelligence in marketing: Applications, opportunities, challenges, and research agenda",7
424,Generative artificial intelligence in nursing: A scoping review,3
425,Generative artificial intelligence in operations,7
426,Generative artificial intelligence in ophthalmology: Correspondence,7
427,Generative artificial intelligence in small and medium enterprises: Navigating its promises and challenges,7
428,Generative artificial intelligence in surgery,7
429,Generative artificial intelligence in surgery: balancing innovation with ethical challenges,7
430,GENERATIVE ARTIFICIAL INTELLIGENCE SUBSTANTIALLY ENHANCES THE ACCURACY OF EMBRYO SELECTION MODELS,7
431,Generative Artificial Intelligence Tools in Gastroenterology Training,7
432,Generative artificial intelligence tools in scientific writing: entering a brave new world?,7
433,"Generative artificial intelligence usage by researchers at work: Effects of gender, career stage, type of workplace, and perceived barriers",7
434,Generative artificial intelligence versus clinicians: Who diagnoses multiple sclerosis faster and with greater accuracy?,1
435,"Generative Artificial Intelligence, Large Language Models, and JID Innovations",7
436,Generative Artificial Intelligence: A New Frontier of Scientific Misconduct?,7
437,Generative Artificial Intelligence: A Promising Instrument for Daily Living and Clinical Practice,7
438,"Generative artificial intelligence: opportunities, challenges and future avenues for organizational learning",2
439,Governance of Generative Artificial Intelligence:,3
440,"Green entrepreneurship success in the age of generative artificial intelligence: The interplay of technology adoption, knowledge management, and government support",7
441,Guidelines for the Use of Generative Artificial Intelligence Tools for Biomedical Journal Authors and Reviewers,7
442,Has generative artificial intelligence solved inverse materials design?,5
443,How can GenAI foster an inclusive language classroom? A critical language pedagogy perspective from Philippine university teachers,7
444,How can generative artificial intelligence improve digital supply chain performance in manufacturing firms? Analyzing the mediating role of innovation ambidexterity using hybrid analysis through CB-SEM and PLS-SEM,7
445,How does generative artificial intelligence impact student creativity?,7
446,"How generative artificial intelligence has blurred notions of authorial identity and academic norms in higher education, necessitating clear university usage policies",2
447,How generative artificial intelligence portrays science: Interviewing ChatGPT from the perspective of different audience segments,7
448,ID: 4120624 Building Patient Archetypes to Analyze Willingness to Change using New Technologies: Generative Artificial Intelligence with the Goal of More Optimally Influencing Change in Patient Behaviors with Atrial Fibrillation,7
449,Impact of generative artificial intelligence models on the performance of citizen data scientists in retail firms,7
450,Integrating large language models and generative artificial intelligence tools into information literacy instruction,7
451,Intelligent design and optimization system for shear wall structures based on large language models and generative artificial intelligence,7
452,Inverse design of cellular structures with the geometry of triply periodic minimal surfaces using generative artificial intelligence algorithms,7
453,Latest developments of generative artificial intelligence and applications in ophthalmology,7
454,Leadership development through self-upskilling: role of generative artificial intelligence,2
455,Letter to the editor “A review of top cardiology and cardiovascular medicine journal guidelines regarding the use of generative artificial intelligence tools in scientific writing”,7
456,Leveraging Generative Artificial Intelligence in Diagnosis of Thrombotic Microangiopathies: Focus on Thrombotic Thrombocytopenic Purpura,7
457,MSR184 Leveraging Generative Artificial Intelligence for Assessing the Quality of Network Meta-Analysis: Methodological Considerations and Early Findings,7
458,MSR201 Optimising Performance of Generative Artificial Intelligence (GenAI) in Systematic Literature Review (SLR) Screening Using PICOS Criteria,7
459,MSR224 Generative Artificial Intelligence: An Effective Alternative for Screening Titles and Abstracts in Systematic Literature Reviews,7
460,MSR33 Utilizing Generative Artificial Intelligence in Network Meta-Analysis: Assessing the Effectiveness of GenAI as a Tool in Feasibility Assessments,7
461,MSR63 Prompt Engineering for the Use of Generative Artificial Intelligence (AI) in Health Economic Modeling: Findings From a Targeted Literature Review,7
462,Navigating the data frontier in science assessment: Advancing data augmentation strategies for machine learning applications with generative artificial intelligence,7
463,On the Application of Generative Artificial Intelligence ChatGPT in Digital Trade,7
464,OpenAI’s GPT-4o in surgical oncology: Revolutionary advances in generative artificial intelligence,7
465,P.6.1 CREATING VIRTUAL PATIENTS WITH A GENERATIVE ARTIFICIAL INTELLIGENCE ALGORITHM FOR CLINICAL STUDIES,7
466,P.6.4 DEVELOPMENT OF A GENERATIVE ARTIFICIAL INTELLIGENCE ALGORITHM FOR THE REGENERATION OF VIRTUAL VOLUNTEERS IN BIOEQUIVALENCE STUDIES,7
467,Performance of Generative Artificial Intelligence in Dental Licensing Examinations,3
468,Personality traits for self-regulated learning with generative artificial intelligence: The case of ChatGPT,7
469,Potential application of generative artificial intelligence and machine learning algorithm in oil and gas sector: Benefits and future prospects,7
470,Practical implementation of generative artificial intelligence systems in healthcare: A United States perspective,7
471,Prediction of outcomes after cardiac arrest by a generative artificial intelligence model,8
472,Principles and challenges of generative artificial intelligence detection,7
473,Privacy and personal data risk governance for generative artificial intelligence: A Chinese perspective,7
474,Psychiatrists’ experiences and opinions of generative artificial intelligence in mental healthcare: An online mixed methods survey,7
475,Rapid estimation of γ' solvus temperature for composition design of Ni-based superalloy via physics-informed generative artificial intelligence,7
476,Redefining boundaries in innovation and knowledge domains: Investigating the impact of generative artificial intelligence on copyright and intellectual property rights,7
477,Rethinking research and generative artificial intelligence,7
478,SA62 Evaluating Generative Artificial Intelligence (GenAI) in Health Technology Assessment (HTA) Content Generation: A Proof-of-Concept Using Canadian Agency for Drugs and Technologies in Health (CADTH) Reimbursement Dossier Forms,7
479,Search Engines and Generative Artificial Intelligence Integration: Public Health Risks and Recommendations to Safeguard Consumers Online,1
480,Start Generating: Harnessing Generative Artificial Intelligence for Sociological Research,7
481,Statement on use of generative artificial intelligence by adolescents,7
482,"Statistical analysis and generative Artificial Intelligence (AI) for assessing pain experience, pain-induced disability, and quality of life in Parkinson's disease patients",7
483,Student and Faculty Perceptions of Generative Artificial Intelligence in Student Writing,7
484,Student Perceptions of Generative Artificial Intelligence in Didactic Patient Presentations,7
485,Suspected undeclared use of generative artificial intelligence,7
486,The academic industry’s response to generative artificial intelligence: An institutional analysis of large language models,7
487,The Artificial Third: A Broad View of the Effects of Introducing Generative Artificial Intelligence on Psychotherapy,7
488,The emerging role of generative artificial intelligence in transplant medicine,7
489,"The good, the bad, and the GPT: Reviewing the impact of generative artificial intelligence on psychology",7
490,The Impact of Generative Artificial Intelligence in Scientific Content Synthesis for Authors,7
491,The Impact of Generative Artificial Intelligence on Research Integrity in Scholarly Publishing,7
492,The Impact of Generative Artificial Intelligence on the External Review of Scientific Manuscripts and Editorial Peer Review Processes,7
493,The memory systems of the human brain and generative artificial intelligence,7
494,"The revolution of generative artificial intelligence in psychology: The interweaving of behavior, consciousness, and ethics",7
495,The sudden disruptive rise of generative artificial intelligence? An evaluation of their impact on higher education and the global workplace,7
496,Unfolding the Potential of Generative Artificial Intelligence:,3
497,Use of Generative Artificial Intelligence for Development of Plain Language Summaries: A Blinded Assessment of Education Preferences of the Sickle Cell Disease Community,7
498,Using generative artificial intelligence in bibliometric analysis: 10 years of research trends from the European Resuscitation Congresses,8
499,Visual narratives in nursing education: A generative artificial intelligence approach,7
500,What drives the corporate payoffs of using generative artificial intelligence?,7
501,When generative artificial intelligence meets multimodal composition: Rethinking the composition process through an AI-assisted design project,7
502,"When, What, and how should generative artificial intelligence explain to Users?",7
503,Why Should Users Take the Risk of Sustainable Use of Generative Artificial Intelligence Chatbots:,3
504,"Would Uro_Chat, a Newly Developed Generative Artificial Intelligence Large Language Model, Have Successfully Passed the In-Service Assessment Questions of the European Board of Urology in 2022?",7
505,Accuracy of generative artificial intelligence models in differential diagnoses of familial Mediterranean fever and deficiency of Interleukin-1 receptor antagonist,7
506,Artificial intelligence in developing countries: The impact of generative artificial intelligence (AI) technologies for development,7
507,Artificial muses: Generative artificial intelligence chatbots have risen to human-level creativity,7
508,Augmenting Organizational Change and Strategy Activities: Leveraging Generative Artificial Intelligence,7
509,Beyond Clinical Accuracy: Considerations for the Use of Generative Artificial Intelligence Models in Gastrointestinal Care,7
510,ChatGPT and Generative Artificial Intelligence in Mohs Surgery: A New Frontier of Innovation,7
511,Detecting generative artificial intelligence in scientific articles: Evasion techniques and implications for scientific integrity,1
512,Drivers of generative artificial intelligence to fostering exploitative and exploratory innovation: A TOE framework,7
513,Editorial: Generative artificial intelligence as a plagiarism problem,7
514,Entrepreneurship Education at the Dawn of Generative Artificial Intelligence,7
515,Exploring generative artificial intelligence preparedness among university language instructors: A case study,7
516,"Exploring the Clinical Translation of Generative Models Like ChatGPT: Promise and Pitfalls in Radiology, From Patients to Population Health",7
517,Foot and Ankle Surgery declares use of generative artificial intelligence like Chat Generative Pre-trained Transformer (ChatGPT) for scientific publications,7
518,Generative Artificial Intelligence (AI) and Medical Ethics: A Symbiotic Dance for the Future,7
519,Generative artificial intelligence (ChatGPT): Implications for management educators,7
520,"Generative artificial intelligence and academia: Implication for research, teaching and service",7
521,Generative Artificial Intelligence and ChatGPT,7
522,Generative artificial intelligence and its applications in materials science: Current situation and future perspectives,7
523,Generative artificial intelligence and second language writing,7
524,Generative artificial intelligence fails to provide sufficiently accurate recommendations when compared to established breast reconstruction surgery guidelines,7
525,Generative Artificial Intelligence GPT‑4 Accelerates Knowledge Mining and Machine Learning for Synthetic Biology,7
526,Generative artificial intelligence in Journal of Biological Chemistry,7
527,Generative artificial intelligence in publishing - Reflection and discussion,7
528,Generative Artificial Intelligence in the Hospitality and Tourism Industry: Developing a Framework for Future Research,7
529,Generative artificial intelligence in the metaverse era,7
530,Generative Artificial Intelligence Through ChatGPT and Other Large Language Models in Ophthalmology: Clinical Applications and Challenges,7
531,Is ChatGPT scary good? How user motivations affect creepiness and trust in generative artificial intelligence,7
532,Is Generative Artificial Intelligence the Next Step Toward a Personalized Hemodialysis?,3
533,Medical education empowered by generative artificial intelligence large language models,7
534,Mimicking Clinical Trials with Synthetic Acute Myeloid Leukemia Patients Using Generative Artificial Intelligence,7
535,"MSR26 The Use of Copilot, a Generative Artificial Intelligence Tool, as VBA Programming Assistant in Excel-Based Health Economic Models",7
536,"On ChatGPT and beyond: How generative artificial intelligence may affect research, teaching, and practice",7
537,"Opportunities, Challenges, and Future Directions of Generative Artificial Intelligence in Medical Education: Scoping Review",1
538,Revolutionizing Digital Pathology With the Power of Generative Artificial Intelligence and Foundation Models,7
539,Surprising Advances in Generative Artificial Intelligence Prompt Amazement—and Worries,7
540,The ChatGPT (Generative Artificial Intelligence) Revolution Has Made Artificial Intelligence Approachable for Medical Professionals,7
541,The dangers of generative artificial intelligence,7
542,"The effect of generative artificial intelligence (AI)-based tool use on students' computational thinking skills, programming self-efficacy and motivation",7
543,The implications of generative artificial intelligence in academic research and higher education in tourism and hospitality,7
544,Time to Move Beyond the ASWB Licensing Exams: Can Generative Artificial Intelligence Offer a Way Forward for Social Work?,7
545,Who is better in project planning?Generative artificial intelligence or project managers?,7
